product,step_id,function_step
PRODA,AA100010,STI_FORMATION
PRODA,AA100020,WELL_IMPLANT
PRODA,AA100030,VT_ADJUST
PRODA,AA100040,PC_LITHO
PRODA,AA100050,PC_ETCH
PRODA,AA100060,GATE_STACK
PRODA,AA100070,GATE_PATTERN
PRODA,AA100080,SPACER_FORMATION
PRODA,AA100090,SD_EPI
PRODA,AA100100,CONTACT_LITHO
PRODA,AA100110,CONTACT_ETCH
PRODA,AA100120,MOL_METAL
PRODA,AA100130,VIA0_FORMATION
PRODA,AA100140,M1_LITHO
PRODA,AA100150,M1_ETCH
PRODA,AA100160,VIA1_FORMATION
PRODA,AA100170,M2_LITHO
PRODA,AA100180,M2_ETCH
PRODA,AA100190,BEOL_PASSIVATION
PRODA,AA100200,FINAL_INSPECTION
PRODA,AA100210,STI_FORMATION
PRODA,AA100220,WELL_IMPLANT
PRODA,AA100230,VT_ADJUST
PRODA,AA100240,PC_LITHO
PRODA,AA100250,PC_ETCH
PRODA,AA100260,GATE_STACK
PRODA,AA100270,GATE_PATTERN
PRODA,AA100280,SPACER_FORMATION
PRODA,AA100290,SD_EPI
PRODA,AA100300,CONTACT_LITHO
PRODA,AA100310,CONTACT_ETCH
PRODA,AA100320,MOL_METAL
PRODA,AA100330,VIA0_FORMATION
PRODA,AA100340,M1_LITHO
PRODA,AA100350,M1_ETCH
PRODA,AA100360,VIA1_FORMATION
PRODA,AA100370,M2_LITHO
PRODA,AA100380,M2_ETCH
PRODA,AA100390,BEOL_PASSIVATION
PRODA,AA100400,FINAL_INSPECTION
PRODA,AA100410,STI_FORMATION
PRODA,AA100420,WELL_IMPLANT
PRODA,AA100430,VT_ADJUST
PRODA,AA100440,PC_LITHO
PRODA,AA100450,PC_ETCH
PRODA,AA100460,GATE_STACK
PRODA,AA100470,GATE_PATTERN
PRODA,AA100480,SPACER_FORMATION
PRODA,AA100490,SD_EPI
PRODA,AA100500,CONTACT_LITHO
PRODA,AA100510,CONTACT_ETCH
PRODA,AA100520,MOL_METAL
PRODA,AA100530,VIA0_FORMATION
PRODA,AA100540,M1_LITHO
PRODA,AA100550,M1_ETCH
PRODA,AA100560,VIA1_FORMATION
PRODA,AA100570,M2_LITHO
PRODA,AA100580,M2_ETCH
PRODA,AA100590,BEOL_PASSIVATION
PRODA,AA100600,FINAL_INSPECTION
PRODB,AB100010,STI_FORMATION
PRODB,AB100020,WELL_IMPLANT
PRODB,AB100030,VT_ADJUST
PRODB,AB100040,PC_LITHO
PRODB,AB100050,PC_ETCH
PRODB,AB100060,GATE_STACK
PRODB,AB100070,GATE_PATTERN
PRODB,AB100080,SPACER_FORMATION
PRODB,AB100090,SD_EPI
PRODB,AB100100,CONTACT_LITHO
PRODB,AB100110,CONTACT_ETCH
PRODB,AB100120,MOL_METAL
PRODB,AB100130,VIA0_FORMATION
PRODB,AB100140,M1_LITHO
PRODB,AB100150,M1_ETCH
PRODB,AB100160,VIA1_FORMATION
PRODB,AB100170,M2_LITHO
PRODB,AB100180,M2_ETCH
PRODB,AB100190,BEOL_PASSIVATION
PRODB,AB100200,FINAL_INSPECTION
PRODB,AB100210,STI_FORMATION
PRODB,AB100220,WELL_IMPLANT
PRODB,AB100230,VT_ADJUST
PRODB,AB100240,PC_LITHO
PRODB,AB100250,PC_ETCH
PRODB,AB100260,GATE_STACK
PRODB,AB100270,GATE_PATTERN
PRODB,AB100280,SPACER_FORMATION
PRODB,AB100290,SD_EPI
PRODB,AB100300,CONTACT_LITHO
PRODB,AB100310,CONTACT_ETCH
PRODB,AB100320,MOL_METAL
PRODB,AB100330,VIA0_FORMATION
PRODB,AB100340,M1_LITHO
PRODB,AB100350,M1_ETCH
PRODB,AB100360,VIA1_FORMATION
PRODB,AB100370,M2_LITHO
PRODB,AB100380,M2_ETCH
PRODB,AB100390,BEOL_PASSIVATION
PRODB,AB100400,FINAL_INSPECTION
PRODB,AB100410,STI_FORMATION
PRODB,AB100420,WELL_IMPLANT
PRODB,AB100430,VT_ADJUST
PRODB,AB100440,PC_LITHO
PRODB,AB100450,PC_ETCH
PRODB,AB100460,GATE_STACK
PRODB,AB100470,GATE_PATTERN
PRODB,AB100480,SPACER_FORMATION
PRODB,AB100490,SD_EPI
PRODB,AB100500,CONTACT_LITHO
PRODB,AB100510,CONTACT_ETCH
PRODB,AB100520,MOL_METAL
PRODB,AB100530,VIA0_FORMATION
PRODB,AB100540,M1_LITHO
PRODB,AB100550,M1_ETCH
PRODB,AB100560,VIA1_FORMATION
PRODB,AB100570,M2_LITHO
PRODB,AB100580,M2_ETCH
PRODB,AB100590,BEOL_PASSIVATION
PRODB,AB100600,FINAL_INSPECTION
