Mask,chip_x_adj,chip_y_adj,Chip_Radius
VH_PRODA,1,4,154.8709
VH_PRODA,1,5,146.2635
VH_PRODA,1,6,139.4597
VH_PRODA,1,7,134.7331
VH_PRODA,1,8,132.3065
VH_PRODA,1,9,132.3065
VH_PRODA,1,10,134.7331
VH_PRODA,1,11,139.4597
VH_PRODA,1,12,146.2635
VH_PRODA,1,13,154.8709
VH_PRODA,2,3,146.5094
VH_PRODA,2,4,135.0
VH_PRODA,2,5,125.032
VH_PRODA,2,6,117.0
VH_PRODA,2,7,111.3239
VH_PRODA,2,8,108.3744
VH_PRODA,2,9,108.3744
VH_PRODA,2,10,111.3239
VH_PRODA,2,11,117.0
VH_PRODA,2,12,125.032
VH_PRODA,2,13,135.0
VH_PRODA,2,14,146.5094
VH_PRODA,3,1,159.0
VH_PRODA,3,2,144.0312
VH_PRODA,3,3,129.8345
VH_PRODA,3,4,116.6919
VH_PRODA,3,5,105.0
VH_PRODA,3,6,95.2943
VH_PRODA,3,7,88.2326
VH_PRODA,3,8,84.4808
VH_PRODA,3,9,84.4808
VH_PRODA,3,10,88.2326
VH_PRODA,3,11,95.2943
VH_PRODA,3,12,105.0
VH_PRODA,3,13,116.6919
VH_PRODA,3,14,129.8345
VH_PRODA,3,15,144.0312
VH_PRODA,3,16,159.0
VH_PRODA,4,1,147.7329
VH_PRODA,4,2,131.4876
VH_PRODA,4,3,115.7627
VH_PRODA,4,4,100.8018
VH_PRODA,4,5,87.0
VH_PRODA,4,6,75.0
VH_PRODA,4,7,65.7951
VH_PRODA,4,8,60.6712
VH_PRODA,4,9,60.6712
VH_PRODA,4,10,65.7951
VH_PRODA,4,11,75.0
VH_PRODA,4,12,87.0
VH_PRODA,4,13,100.8018
VH_PRODA,4,14,115.7627
VH_PRODA,4,15,131.4876
VH_PRODA,4,16,147.7329
VH_PRODA,5,1,139.7176
VH_PRODA,5,2,122.4132
VH_PRODA,5,3,105.3423
VH_PRODA,5,4,88.6397
VH_PRODA,5,5,72.5603
VH_PRODA,5,6,57.6281
VH_PRODA,5,7,45.0
VH_PRODA,5,8,37.108
VH_PRODA,5,9,37.108
VH_PRODA,5,10,45.0
VH_PRODA,5,11,57.6281
VH_PRODA,5,12,72.5603
VH_PRODA,5,13,88.6397
VH_PRODA,5,14,105.3423
VH_PRODA,5,15,122.4132
VH_PRODA,5,16,139.7176
VH_PRODA,6,1,135.5323
VH_PRODA,6,2,117.6138
VH_PRODA,6,3,99.7246
VH_PRODA,6,4,81.8841
VH_PRODA,6,5,64.1327
VH_PRODA,6,6,46.5725
VH_PRODA,6,7,29.5466
VH_PRODA,6,8,15.0
VH_PRODA,6,9,15.0
VH_PRODA,6,10,29.5466
VH_PRODA,6,11,46.5725
VH_PRODA,6,12,64.1327
VH_PRODA,6,13,81.8841
VH_PRODA,6,14,99.7246
VH_PRODA,6,15,117.6138
VH_PRODA,6,16,135.5323
VH_PRODA,7,1,135.5323
VH_PRODA,7,2,117.6138
VH_PRODA,7,3,99.7246
VH_PRODA,7,4,81.8841
VH_PRODA,7,5,64.1327
VH_PRODA,7,6,46.5725
VH_PRODA,7,7,29.5466
VH_PRODA,7,8,15.0
VH_PRODA,7,9,15.0
VH_PRODA,7,10,29.5466
VH_PRODA,7,11,46.5725
VH_PRODA,7,12,64.1327
VH_PRODA,7,13,81.8841
VH_PRODA,7,14,99.7246
VH_PRODA,7,15,117.6138
VH_PRODA,7,16,135.5323
VH_PRODA,8,1,139.7176
VH_PRODA,8,2,122.4132
VH_PRODA,8,3,105.3423
VH_PRODA,8,4,88.6397
VH_PRODA,8,5,72.5603
VH_PRODA,8,6,57.6281
VH_PRODA,8,7,45.0
VH_PRODA,8,8,37.108
VH_PRODA,8,9,37.108
VH_PRODA,8,10,45.0
VH_PRODA,8,11,57.6281
VH_PRODA,8,12,72.5603
VH_PRODA,8,13,88.6397
VH_PRODA,8,14,105.3423
VH_PRODA,8,15,122.4132
VH_PRODA,8,16,139.7176
VH_PRODA,9,1,147.7329
VH_PRODA,9,2,131.4876
VH_PRODA,9,3,115.7627
VH_PRODA,9,4,100.8018
VH_PRODA,9,5,87.0
VH_PRODA,9,6,75.0
VH_PRODA,9,7,65.7951
VH_PRODA,9,8,60.6712
VH_PRODA,9,9,60.6712
VH_PRODA,9,10,65.7951
VH_PRODA,9,11,75.0
VH_PRODA,9,12,87.0
VH_PRODA,9,13,100.8018
VH_PRODA,9,14,115.7627
VH_PRODA,9,15,131.4876
VH_PRODA,9,16,147.7329
VH_PRODA,10,1,159.0
VH_PRODA,10,2,144.0312
VH_PRODA,10,3,129.8345
VH_PRODA,10,4,116.6919
VH_PRODA,10,5,105.0
VH_PRODA,10,6,95.2943
VH_PRODA,10,7,88.2326
VH_PRODA,10,8,84.4808
VH_PRODA,10,9,84.4808
VH_PRODA,10,10,88.2326
VH_PRODA,10,11,95.2943
VH_PRODA,10,12,105.0
VH_PRODA,10,13,116.6919
VH_PRODA,10,14,129.8345
VH_PRODA,10,15,144.0312
VH_PRODA,10,16,159.0
VH_PRODA,11,3,146.5094
VH_PRODA,11,4,135.0
VH_PRODA,11,5,125.032
VH_PRODA,11,6,117.0
VH_PRODA,11,7,111.3239
VH_PRODA,11,8,108.3744
VH_PRODA,11,9,108.3744
VH_PRODA,11,10,111.3239
VH_PRODA,11,11,117.0
VH_PRODA,11,12,125.032
VH_PRODA,11,13,135.0
VH_PRODA,11,14,146.5094
VH_PRODA,12,4,154.8709
VH_PRODA,12,5,146.2635
VH_PRODA,12,6,139.4597
VH_PRODA,12,7,134.7331
VH_PRODA,12,8,132.3065
VH_PRODA,12,9,132.3065
VH_PRODA,12,10,134.7331
VH_PRODA,12,11,139.4597
VH_PRODA,12,12,146.2635
VH_PRODA,12,13,154.8709
VH_PRODB,1,2,156.205
VH_PRODB,1,3,141.5097
VH_PRODB,1,4,130.0
VH_PRODB,1,5,122.5765
VH_PRODB,1,6,120.0
VH_PRODB,1,7,122.5765
VH_PRODB,1,8,130.0
VH_PRODB,1,9,141.5097
VH_PRODB,1,10,156.205
VH_PRODB,2,1,154.0292
VH_PRODB,2,2,134.5362
VH_PRODB,2,3,117.1537
VH_PRODB,2,4,102.9563
VH_PRODB,2,5,93.4077
VH_PRODB,2,6,90.0
VH_PRODB,2,7,93.4077
VH_PRODB,2,8,102.9563
VH_PRODB,2,9,117.1537
VH_PRODB,2,10,134.5362
VH_PRODB,2,11,154.0292
VH_PRODB,3,1,138.6542
VH_PRODB,3,2,116.619
VH_PRODB,3,3,96.0469
VH_PRODB,3,4,78.1025
VH_PRODB,3,5,65.0
VH_PRODB,3,6,60.0
VH_PRODB,3,7,65.0
VH_PRODB,3,8,78.1025
VH_PRODB,3,9,96.0469
VH_PRODB,3,10,116.619
VH_PRODB,3,11,138.6542
VH_PRODB,3,12,161.5549
VH_PRODB,4,1,128.5496
VH_PRODB,4,2,104.4031
VH_PRODB,4,3,80.7775
VH_PRODB,4,4,58.3095
VH_PRODB,4,5,39.0512
VH_PRODB,4,6,30.0
VH_PRODB,4,7,39.0512
VH_PRODB,4,8,58.3095
VH_PRODB,4,9,80.7775
VH_PRODB,4,10,104.4031
VH_PRODB,4,11,128.5496
VH_PRODB,4,12,152.9706
VH_PRODB,5,1,125.0
VH_PRODB,5,2,100.0
VH_PRODB,5,3,75.0
VH_PRODB,5,4,50.0
VH_PRODB,5,5,25.0
VH_PRODB,5,6,0.0
VH_PRODB,5,7,25.0
VH_PRODB,5,8,50.0
VH_PRODB,5,9,75.0
VH_PRODB,5,10,100.0
VH_PRODB,5,11,125.0
VH_PRODB,5,12,150.0
VH_PRODB,6,1,128.5496
VH_PRODB,6,2,104.4031
VH_PRODB,6,3,80.7775
VH_PRODB,6,4,58.3095
VH_PRODB,6,5,39.0512
VH_PRODB,6,6,30.0
VH_PRODB,6,7,39.0512
VH_PRODB,6,8,58.3095
VH_PRODB,6,9,80.7775
VH_PRODB,6,10,104.4031
VH_PRODB,6,11,128.5496
VH_PRODB,6,12,152.9706
VH_PRODB,7,1,138.6542
VH_PRODB,7,2,116.619
VH_PRODB,7,3,96.0469
VH_PRODB,7,4,78.1025
VH_PRODB,7,5,65.0
VH_PRODB,7,6,60.0
VH_PRODB,7,7,65.0
VH_PRODB,7,8,78.1025
VH_PRODB,7,9,96.0469
VH_PRODB,7,10,116.619
VH_PRODB,7,11,138.6542
VH_PRODB,7,12,161.5549
VH_PRODB,8,1,154.0292
VH_PRODB,8,2,134.5362
VH_PRODB,8,3,117.1537
VH_PRODB,8,4,102.9563
VH_PRODB,8,5,93.4077
VH_PRODB,8,6,90.0
VH_PRODB,8,7,93.4077
VH_PRODB,8,8,102.9563
VH_PRODB,8,9,117.1537
VH_PRODB,8,10,134.5362
VH_PRODB,8,11,154.0292
VH_PRODB,9,2,156.205
VH_PRODB,9,3,141.5097
VH_PRODB,9,4,130.0
VH_PRODB,9,5,122.5765
VH_PRODB,9,6,120.0
VH_PRODB,9,7,122.5765
VH_PRODB,9,8,130.0
VH_PRODB,9,9,141.5097
VH_PRODB,9,10,156.205
VH_PRODB,10,4,158.1139
VH_PRODB,10,5,152.0691
VH_PRODB,10,6,150.0
VH_PRODB,10,7,152.0691
VH_PRODB,10,8,158.1139
