vehicle,teg,top_cell,direction,ebeam_x,ebeam_y,teg_w,teg_h
VH_PRODA,H_PCHK,H_ALIGN_TOP,H,-14.0,0.0,0.5,0.5
VH_PRODA,V_PCHK,V_ALIGN_TOP,V,0.0,-14.0,0.5,0.5
VH_PRODA,TEG_GATE,GATE_CELL,H,-9.5,-6.8,2.4,1.2
VH_PRODA,TEG_SPACER,SPACER_CELL,H,1.2,2.5,1.8,1.8
VH_PRODA,TEG_CONT,CONT_CELL,V,7.6,-4.1,3.0,1.0
VH_PRODA,TEG_METAL,METAL_CELL,H,-3.4,5.9,1.5,2.2
VH_PRODB,H_PCHK,H_ALIGN_TOP,H,-15.0,0.0,0.5,0.5
VH_PRODB,V_PCHK,V_ALIGN_TOP,V,0.0,-15.0,0.5,0.5
VH_PRODB,TEG_GATE,GATE_CELL,H,-12.0,-9.5,2.4,1.2
VH_PRODB,TEG_VIA,VIA_CELL,V,4.8,6.2,2.0,2.0
VH_PRODB,TEG_METAL,METAL_CELL,H,10.5,-3.0,3.2,1.4
