product,step_id,item_id,item_desc,function_step
PRODA0,AA100210,CD_GATE_MEAN,3.3M PC_FIN_CD_MEAS / CD_FIN,3.3M PC_FIN_CD_MEAS
PRODA0,AA100210,CD_GATE_STD,3.3M PC_FIN_CD_MEAS / CD_FIN,3.3M PC_FIN_CD_MEAS
PRODA0,AA100290,CD_SPACER_MEAN,5.1M SPACER_THK_MEAS / THK_SPACER,5.1M SPACER_THK_MEAS
PRODA0,AA100290,CD_SPACER_STD,5.1M SPACER_THK_MEAS / THK_SPACER,5.1M SPACER_THK_MEAS
PRODA0,AA100620,TOX_M1_MEAN,9.3M M1_THK_MEAS / THK_M1,9.3M M1_THK_MEAS
PRODA0,AA100620,TOX_M1_STD,9.3M M1_THK_MEAS / THK_M1,9.3M M1_THK_MEAS
PRODA0,AA100550,METAL_RES_M1,8.4M CT_RS_MEAS / RS_CT,8.4M CT_RS_MEAS
PRODA0,AA100550,METAL_RES_M2,8.4M CT_RS_MEAS / RS_CT,8.4M CT_RS_MEAS
PRODA0,AA100650,OVL_X,10.2M M2_OVL_M1 / OVL_M2_M1,10.2M M2_OVL_M1
PRODA0,AA100720,OVL_Y,12.1M M4_OVL_M3 / OVL_M4_M3,12.1M M4_OVL_M3
PRODA1,AC100210,CD_GATE_MEAN,3.3M PC_FIN_CD_MEAS / CD_FIN,3.3M PC_FIN_CD_MEAS
PRODA1,AC100210,CD_GATE_STD,3.3M PC_FIN_CD_MEAS / CD_FIN,3.3M PC_FIN_CD_MEAS
PRODA1,AC100290,CD_SPACER_MEAN,5.1M SPACER_THK_MEAS / THK_SPACER,5.1M SPACER_THK_MEAS
PRODA1,AC100290,CD_SPACER_STD,5.1M SPACER_THK_MEAS / THK_SPACER,5.1M SPACER_THK_MEAS
PRODA1,AC100620,TOX_M1_MEAN,9.3M M1_THK_MEAS / THK_M1,9.3M M1_THK_MEAS
PRODA1,AC100620,TOX_M1_STD,9.3M M1_THK_MEAS / THK_M1,9.3M M1_THK_MEAS
PRODA1,AC100550,METAL_RES_M1,8.4M CT_RS_MEAS / RS_CT,8.4M CT_RS_MEAS
PRODA1,AC100550,METAL_RES_M2,8.4M CT_RS_MEAS / RS_CT,8.4M CT_RS_MEAS
PRODA1,AC100650,OVL_X,10.2M M2_OVL_M1 / OVL_M2_M1,10.2M M2_OVL_M1
PRODA1,AC100720,OVL_Y,12.1M M4_OVL_M3 / OVL_M4_M3,12.1M M4_OVL_M3
PRODB,AB100210,CD_GATE_MEAN,3.3M PC_FIN_CD_MEAS / CD_FIN,3.3M PC_FIN_CD_MEAS
PRODB,AB100210,CD_GATE_STD,3.3M PC_FIN_CD_MEAS / CD_FIN,3.3M PC_FIN_CD_MEAS
PRODB,AB100290,CD_SPACER_MEAN,5.1M SPACER_THK_MEAS / THK_SPACER,5.1M SPACER_THK_MEAS
PRODB,AB100290,CD_SPACER_STD,5.1M SPACER_THK_MEAS / THK_SPACER,5.1M SPACER_THK_MEAS
PRODB,AB100620,TOX_M1_MEAN,9.3M M1_THK_MEAS / THK_M1,9.3M M1_THK_MEAS
PRODB,AB100620,TOX_M1_STD,9.3M M1_THK_MEAS / THK_M1,9.3M M1_THK_MEAS
PRODB,AB100550,METAL_RES_M1,8.4M CT_RS_MEAS / RS_CT,8.4M CT_RS_MEAS
PRODB,AB100550,METAL_RES_M2,8.4M CT_RS_MEAS / RS_CT,8.4M CT_RS_MEAS
PRODB,AB100650,OVL_X,10.2M M2_OVL_M1 / OVL_M2_M1,10.2M M2_OVL_M1
PRODB,AB100720,OVL_Y,12.1M M4_OVL_M3 / OVL_M4_M3,12.1M M4_OVL_M3
