product,ppid,knob_name,knob_value
PRODA0,PP_PRODA0_01,GATE_PROFILE,STD
PRODA0,PP_PRODA0_01,SD_EPI_BORON,NOM
PRODA0,PP_PRODA0_01,CHANNEL_RELEASE_TIME,60s
PRODA0,PP_PRODA0_01,HKMG_WF_METAL,TiN_3nm
PRODA0,PP_PRODA0_01,SPACER_LOWK_K,k3.9
PRODA0,PP_PRODA0_01,M1_CU_RECIPE,R1
PRODA0,PP_PRODA0_02,GATE_PROFILE,TILT_2DEG
PRODA0,PP_PRODA0_02,SD_EPI_BORON,NOM
PRODA0,PP_PRODA0_02,CHANNEL_RELEASE_TIME,60s
PRODA0,PP_PRODA0_02,HKMG_WF_METAL,TiN_3nm
PRODA0,PP_PRODA0_02,SPACER_LOWK_K,k3.9
PRODA0,PP_PRODA0_02,M1_CU_RECIPE,R1
PRODA0,PP_PRODA0_03,GATE_PROFILE,STD
PRODA0,PP_PRODA0_03,SD_EPI_BORON,HIGH_1E20
PRODA0,PP_PRODA0_03,CHANNEL_RELEASE_TIME,60s
PRODA0,PP_PRODA0_03,HKMG_WF_METAL,TiN_3nm
PRODA0,PP_PRODA0_03,SPACER_LOWK_K,k3.9
PRODA0,PP_PRODA0_03,M1_CU_RECIPE,R1
PRODA0,PP_PRODA0_04,GATE_PROFILE,STD
PRODA0,PP_PRODA0_04,SD_EPI_BORON,NOM
PRODA0,PP_PRODA0_04,CHANNEL_RELEASE_TIME,72s
PRODA0,PP_PRODA0_04,HKMG_WF_METAL,TiN_3nm
PRODA0,PP_PRODA0_04,SPACER_LOWK_K,k3.9
PRODA0,PP_PRODA0_04,M1_CU_RECIPE,R1
PRODA0,PP_PRODA0_05,GATE_PROFILE,STD
PRODA0,PP_PRODA0_05,SD_EPI_BORON,LOW_8E19
PRODA0,PP_PRODA0_05,CHANNEL_RELEASE_TIME,60s
PRODA0,PP_PRODA0_05,HKMG_WF_METAL,TiAlC_2nm
PRODA0,PP_PRODA0_05,SPACER_LOWK_K,k3.9
PRODA0,PP_PRODA0_05,M1_CU_RECIPE,R1
PRODA0,PP_PRODA0_06,GATE_PROFILE,STD
PRODA0,PP_PRODA0_06,SD_EPI_BORON,NOM
PRODA0,PP_PRODA0_06,CHANNEL_RELEASE_TIME,54s
PRODA0,PP_PRODA0_06,HKMG_WF_METAL,TiN_3.5nm
PRODA0,PP_PRODA0_06,SPACER_LOWK_K,k3.5
PRODA0,PP_PRODA0_06,M1_CU_RECIPE,R2
PRODA1,PP_PRODA1_01,GATE_PROFILE,STD
PRODA1,PP_PRODA1_01,SD_EPI_BORON,NOM
PRODA1,PP_PRODA1_01,CHANNEL_RELEASE_TIME,60s
PRODA1,PP_PRODA1_01,HKMG_WF_METAL,TiN_3nm
PRODA1,PP_PRODA1_01,SPACER_LOWK_K,k3.9
PRODA1,PP_PRODA1_01,M1_CU_RECIPE,R1
PRODA1,PP_PRODA1_02,GATE_PROFILE,TILT_2DEG
PRODA1,PP_PRODA1_02,SD_EPI_BORON,NOM
PRODA1,PP_PRODA1_02,CHANNEL_RELEASE_TIME,60s
PRODA1,PP_PRODA1_02,HKMG_WF_METAL,TiN_3nm
PRODA1,PP_PRODA1_02,SPACER_LOWK_K,k3.9
PRODA1,PP_PRODA1_02,M1_CU_RECIPE,R1
PRODA1,PP_PRODA1_03,GATE_PROFILE,STD
PRODA1,PP_PRODA1_03,SD_EPI_BORON,HIGH_1E20
PRODA1,PP_PRODA1_03,CHANNEL_RELEASE_TIME,60s
PRODA1,PP_PRODA1_03,HKMG_WF_METAL,TiN_3nm
PRODA1,PP_PRODA1_03,SPACER_LOWK_K,k3.9
PRODA1,PP_PRODA1_03,M1_CU_RECIPE,R1
PRODA1,PP_PRODA1_04,GATE_PROFILE,STD
PRODA1,PP_PRODA1_04,SD_EPI_BORON,NOM
PRODA1,PP_PRODA1_04,CHANNEL_RELEASE_TIME,72s
PRODA1,PP_PRODA1_04,HKMG_WF_METAL,TiN_3nm
