product,feature_name,step_desc,step_id,function_step
PRODA0,PREDICTED_VTH_N,Predicted nVth,ETA100010,M0_DC
PRODA0,PREDICTED_VTH_P,Predicted pVth,ETA100010,M0_DC
PRODA0,PREDICTED_ION_N,Predicted nIon,ETA100020,M1_DC
PRODA0,PREDICTED_ION_P,Predicted pIon,ETA100020,M1_DC
PRODA0,PREDICTED_RC,Predicted contact resistance,ETA100030,VIA_DC
PRODA0,PREDICTED_RCH,Predicted channel resistance,ETA100030,VIA_DC
PRODA0,VTH_N,Virtual metrology nVth,ETA100010,M0_DC
PRODA0,VTH_P,Virtual metrology pVth,ETA100010,M0_DC
PRODA0,ION_N,Virtual metrology nIon,ETA100020,M1_DC
PRODA0,ION_P,Virtual metrology pIon,ETA100020,M1_DC
PRODA1,PREDICTED_VTH_N,Predicted nVth,ETA100010,M0_DC
PRODA1,PREDICTED_VTH_P,Predicted pVth,ETA100010,M0_DC
PRODA1,PREDICTED_ION_N,Predicted nIon,ETA100020,M1_DC
PRODA1,PREDICTED_ION_P,Predicted pIon,ETA100020,M1_DC
PRODA1,PREDICTED_RC,Predicted contact resistance,ETA100030,VIA_DC
PRODA1,PREDICTED_RCH,Predicted channel resistance,ETA100030,VIA_DC
PRODA1,VTH_N,Virtual metrology nVth,ETA100010,M0_DC
PRODA1,VTH_P,Virtual metrology pVth,ETA100010,M0_DC
PRODA1,ION_N,Virtual metrology nIon,ETA100020,M1_DC
PRODA1,ION_P,Virtual metrology pIon,ETA100020,M1_DC
PRODB,PREDICTED_VTH_N,Predicted nVth,ETA100010,M0_DC
PRODB,PREDICTED_VTH_P,Predicted pVth,ETA100010,M0_DC
PRODB,PREDICTED_ION_N,Predicted nIon,ETA100020,M1_DC
PRODB,PREDICTED_ION_P,Predicted pIon,ETA100020,M1_DC
PRODB,PREDICTED_RC,Predicted contact resistance,ETA100030,VIA_DC
PRODB,PREDICTED_RCH,Predicted channel resistance,ETA100030,VIA_DC
PRODB,VTH_N,Virtual metrology nVth,ETA100010,M0_DC
PRODB,VTH_P,Virtual metrology pVth,ETA100010,M0_DC
PRODB,ION_N,Virtual metrology nIon,ETA100020,M1_DC
PRODB,ION_P,Virtual metrology pIon,ETA100020,M1_DC
