product,feature_name,function_step,rule_order,operator,category
PRODA,3.0 VTN,VT_ADJUST,RO,eq,PPID_03_0
PRODA,4.0 GATE_OX11,GATE_STACK,RO,eq,PPID_04_0
PRODA,5.0 PC,PC_LITHO,R1,eq,PPID_05_0
PRODA,5.0 PC,PC_ETCH,RO,eq,PPID_05_1
PRODA,6.0 LDD,SPACER_FORMATION,RO,eq,PPID_06_0
PRODA,7.0 SPACER,SPACER_FORMATION,RO,eq,PPID_07_0
PRODA,8.0 SD_EPI,SD_EPI,RO,eq,PPID_08_0
PRODA,9.0 SILICIDE,MOL_METAL,RO,eq,PPID_09_0
PRODA,10.0 CONTACT,CONTACT_LITHO,R1,eq,PPID_10_0
PRODA,10.0 CONTACT,CONTACT_ETCH,RO,eq,PPID_10_1
PRODA,11.0 M0,MOL_METAL,RO,eq,PPID_11_0
PRODA,12.0 VIA0,VIA0_FORMATION,RO,eq,PPID_12_0
PRODA,13.0 M1,M1_LITHO,R1,eq,PPID_13_0
PRODA,13.0 M1,M1_ETCH,RO,eq,PPID_13_1
PRODA,14.0 VIA1,VIA1_FORMATION,RO,eq,PPID_14_0
PRODA,15.0 M2,M2_LITHO,R1,eq,PPID_15_0
PRODA,15.0 M2,M2_ETCH,RO,eq,PPID_15_1
PRODA,16.0 VIA2,VIA1_FORMATION,RO,eq,PPID_16_0
PRODA,17.0 M3,M2_LITHO,R1,eq,PPID_17_0
PRODA,17.0 M3,M2_ETCH,RO,eq,PPID_17_1
PRODA,18.0 VIA3,VIA1_FORMATION,RO,eq,PPID_18_0
PRODA,19.0 M4,M2_LITHO,R1,eq,PPID_19_0
PRODA,19.0 M4,M2_ETCH,RO,eq,PPID_19_1
PRODA,20.0 PAD,BEOL_PASSIVATION,RO,eq,PPID_20_0
PRODA,21.0 PASSIVATION,BEOL_PASSIVATION,RO,eq,PPID_21_0
PRODA,22.0 ETEST_PREP,FINAL_INSPECTION,RO,eq,PPID_22_0
PRODA,23.0 RELIABILITY,FINAL_INSPECTION,RO,eq,PPID_23_0
PRODA,24.0 SORT,FINAL_INSPECTION,RO,eq,PPID_24_0
PRODB,1.0 STI,STI_FORMATION,RO,eq,PPID_01_0
PRODB,2.0 WELL,WELL_IMPLANT,RO,eq,PPID_02_0
PRODB,3.0 VTN,VT_ADJUST,RO,eq,PPID_03_0
PRODB,4.0 GATE_OX,GATE_STACK,RO,eq,PPID_04_0
PRODB,5.0 PC,PC_LITHO,R1,eq,PPID_05_0
PRODB,5.0 PC,PC_ETCH,RO,eq,PPID_05_1
PRODB,6.0 LDD,SPACER_FORMATION,RO,eq,PPID_06_0
PRODB,7.0 SPACER,SPACER_FORMATION,RO,eq,PPID_07_0
PRODB,8.0 SD_EPI,SD_EPI,RO,eq,PPID_08_0
PRODB,9.0 SILICIDE,MOL_METAL,RO,eq,PPID_09_0
PRODB,10.0 CONTACT,CONTACT_LITHO,R1,eq,PPID_10_0
PRODB,10.0 CONTACT,CONTACT_ETCH,RO,eq,PPID_10_1
PRODB,11.0 M0,MOL_METAL,RO,eq,PPID_11_0
PRODB,12.0 VIA0,VIA0_FORMATION,RO,eq,PPID_12_0
PRODB,13.0 M1,M1_LITHO,R1,eq,PPID_13_0
PRODB,13.0 M1,M1_ETCH,RO,eq,PPID_13_1
PRODB,14.0 VIA1,VIA1_FORMATION,RO,eq,PPID_14_0
PRODB,15.0 M2,M2_LITHO,R1,eq,PPID_15_0
PRODB,15.0 M2,M2_ETCH,RO,eq,PPID_15_1
PRODB,16.0 VIA2,VIA1_FORMATION,RO,eq,PPID_16_0
PRODB,17.0 M3,M2_LITHO,R1,eq,PPID_17_0
PRODB,17.0 M3,M2_ETCH,RO,eq,PPID_17_1
PRODB,18.0 VIA3,VIA1_FORMATION,RO,eq,PPID_18_0
PRODB,19.0 M4,M2_LITHO,R1,eq,PPID_19_0
PRODB,19.0 M4,M2_ETCH,RO,eq,PPID_19_1
PRODB,20.0 PAD,BEOL_PASSIVATION,RO,eq,PPID_20_0
PRODB,21.0 PASSIVATION,BEOL_PASSIVATION,RO,eq,PPID_21_0
PRODB,22.0 ETEST_PREP,FINAL_INSPECTION,RO,eq,PPID_22_0
PRODB,23.0 RELIABILITY,FINAL_INSPECTION,RO,eq,PPID_23_0
PRODB,24.0 SORT,FINAL_INSPECTION,RO,eq,PPID_24_0
