PRODUCT,ROOT_LOT_ID,WAFER_ID,KNOB_CONTACT_ETCH_ppid,KNOB_GATE_ETCH_ppid,KNOB_METAL_ETCH_ppid
PRODA,R181,4,KNOB_STD,KNOB_B,
PRODB,R066,2,,,
PRODB,R012,1,,,
PRODA,R063,3,,,
PRODB,R064,3,,KNOB_A,
PRODA,R184,1,KNOB_STD,KNOB_B,
PRODB,R079,3,,,
PRODA,R087,3,,,
PRODA,R150,1,KNOB_STD,KNOB_NEW,
PRODB,R001,4,,,
PRODA,R148,4,,,
PRODA,R175,3,KNOB_STD,,
PRODA,R010,2,,,
PRODA,R019,4,,,
PRODB,R058,4,,KNOB_A,PP_X9_0500
PRODB,R039,2,,,
PRODA,R025,2,,,
PRODB,R097,1,,,
PRODB,R159,3,,,
PRODA,R092,4,,,
PRODA,R164,2,,,
PRODB,R170,1,,KNOB_A,KNOB_M1
PRODA,R058,4,,,
PRODA,R115,2,,,
PRODB,R008,3,,,
PRODB,R026,3,,KNOB_A,KNOB_M1
PRODB,R006,1,,,
PRODA,R103,3,,,
PRODB,R032,1,,,
PRODA,R079,1,KNOB_STD,,
PRODA,R054,1,,,
PRODB,R081,3,,,
PRODA,R080,2,,,
PRODA,R105,1,KNOB_STD,KNOB_B,
PRODB,R071,2,,PP_X9_2300,KNOB_M1
PRODB,R142,3,,PP_X9_2300,KNOB_M1
PRODA,R150,3,KNOB_STD,KNOB_NEW,
PRODA,R134,1,,,
PRODA,R144,3,,,
PRODA,R037,4,,,
PRODA,R083,4,KNOB_STD,KNOB_A,
PRODA,R193,4,PP_X9_0200,KNOB_NEW,
PRODB,R010,3,,PP_X9_2300,KNOB_M1
PRODA,R184,2,KNOB_STD,KNOB_NEW,
PRODB,R089,2,,KNOB_A,PP_X9_0500
PRODB,R116,4,,,
PRODA,R111,3,,,
PRODA,R134,2,,,
PRODB,R133,2,,,
PRODA,R165,1,,,
PRODA,R006,3,,,
PRODB,R093,1,,,
PRODB,R105,1,,KNOB_A,KNOB_M1
PRODB,R154,2,,KNOB_A,PP_X9_0500
PRODA,R005,5,,,
PRODA,R018,3,KNOB_STD,KNOB_B,
PRODB,R154,1,,KNOB_A,PP_X9_0500
PRODB,R082,1,,,
PRODB,R072,2,,PP_X9_2300,KNOB_M1
PRODB,R064,2,,KNOB_A,KNOB_M1
PRODA,R166,4,,,
PRODA,R159,3,,,
PRODA,R126,3,,,
PRODB,R002,3,,KNOB_A,KNOB_M1
PRODA,R005,2,,,
PRODA,R129,2,,,
PRODA,R091,1,,,
PRODA,R068,3,,,
PRODA,R120,4,,,
PRODA,R038,1,,,
PRODB,R112,3,,,
PRODB,R135,3,,,
PRODA,R044,1,,,
PRODB,R039,3,,,
PRODA,R151,4,,,
PRODA,R194,1,,,
PRODA,R018,2,KNOB_STD,KNOB_NEW,
PRODA,R033,4,,,
PRODA,R029,3,KNOB_STD,KNOB_NEW,
PRODA,R076,1,,,
PRODB,R117,3,,KNOB_A,KNOB_M1
PRODB,R130,1,,,
PRODB,R024,2,,PP_X9_2300,KNOB_M1
PRODB,R010,4,,KNOB_A,KNOB_M1
PRODA,R079,2,PP_X9_0200,,
PRODA,R106,1,KNOB_STD,KNOB_A,
PRODB,R069,4,,KNOB_A,KNOB_M1
PRODA,R085,1,,,
PRODA,R136,1,,,
PRODA,R062,3,KNOB_STD,,
PRODB,R190,1,,,
PRODA,R038,4,,,
PRODB,R083,1,,KNOB_A,KNOB_M1
PRODA,R176,2,KNOB_STD,KNOB_B,
PRODB,R042,1,,,
PRODA,R138,4,,,
PRODB,R155,3,,,
PRODA,R183,3,KNOB_STD,KNOB_NEW,
PRODA,R075,3,,,
PRODB,R082,3,,,
PRODB,R097,4,,,
PRODB,R148,1,,,
PRODB,R186,4,,,
PRODA,R188,4,,,
PRODA,R138,1,,,
PRODA,R174,1,,,
PRODB,R063,2,,KNOB_A,
PRODB,R076,2,,PP_X9_2300,KNOB_M1
PRODB,R094,4,,,
PRODB,R132,1,,KNOB_A,KNOB_M1
PRODA,R082,3,,,
PRODA,R185,2,KNOB_STD,KNOB_B,
PRODA,R001,2,,,
PRODA,R103,4,,,
PRODB,R031,3,,,
PRODB,R150,2,,,
PRODA,R067,3,,,
PRODA,R181,3,KNOB_STD,KNOB_NEW,
PRODA,R148,3,,,
PRODA,R159,4,,,
PRODA,R176,1,KNOB_STD,KNOB_NEW,
PRODA,R185,1,KNOB_STD,,
PRODB,R012,2,,,
PRODB,R026,2,,KNOB_A,PP_X9_0500
PRODA,R120,1,,,
PRODA,R184,5,KNOB_STD,,
PRODA,R135,2,KNOB_STD,KNOB_NEW,
PRODB,R010,1,,KNOB_A,KNOB_M1
PRODB,R049,1,,,
PRODB,R057,2,,,
PRODB,R088,1,,KNOB_A,KNOB_M1
PRODA,R058,3,,,
PRODA,R150,4,KNOB_STD,KNOB_B,
PRODB,R005,3,,,
PRODB,R076,5,,KNOB_A,KNOB_M1
PRODA,R074,1,,,
PRODB,R056,4,,,
PRODA,R037,3,,,
PRODA,R196,1,KNOB_STD,KNOB_NEW,
PRODB,R064,4,,KNOB_A,KNOB_M1
PRODA,R020,1,,,
PRODA,R130,2,,,
PRODA,R169,1,KNOB_STD,,
PRODB,R034,3,,KNOB_A,KNOB_M1
PRODB,R058,2,,KNOB_A,KNOB_M1
PRODB,R199,2,,KNOB_A,
PRODA,R148,2,,,
PRODA,R070,3,KNOB_STD,KNOB_B,
PRODB,R174,4,,KNOB_A,PP_X9_0500
PRODA,R005,4,,,
PRODA,R006,1,,,
PRODB,R023,4,,,
PRODA,R195,4,,,
PRODB,R020,3,,,
PRODA,R175,1,KNOB_STD,,
PRODA,R074,2,,,
PRODB,R149,4,,,
PRODA,R188,2,,,
PRODB,R049,4,,,
PRODA,R185,4,,,
PRODB,R109,2,,KNOB_A,KNOB_M1
PRODA,R168,2,,,
PRODB,R089,3,,KNOB_A,KNOB_M1
PRODB,R023,1,,,
PRODB,R072,4,,,
PRODB,R159,2,,,
PRODA,R166,2,KNOB_STD,KNOB_NEW,
PRODB,R110,5,,PP_X9_2300,KNOB_M1
PRODA,R080,3,,,
PRODB,R154,3,,KNOB_A,KNOB_M1
PRODB,R152,4,,,KNOB_M1
PRODB,R166,3,,,
PRODB,R112,1,,,
PRODA,R196,2,KNOB_STD,KNOB_NEW,
PRODB,R114,4,,,
PRODA,R043,3,,,
PRODB,R129,2,,KNOB_A,
PRODB,R030,2,,,
PRODA,R016,3,,,
PRODA,R148,1,,,
PRODA,R018,4,KNOB_STD,KNOB_B,
PRODA,R144,4,,,
PRODA,R094,1,KNOB_STD,KNOB_A,
PRODB,R099,2,,,KNOB_M1
PRODA,R173,2,,,
PRODA,R113,1,,,
PRODB,R105,2,,KNOB_A,KNOB_M1
PRODB,R065,2,,,
PRODB,R089,1,,KNOB_A,KNOB_M1
PRODA,R199,1,KNOB_STD,KNOB_NEW,
PRODA,R158,4,,,
PRODA,R070,4,KNOB_STD,KNOB_NEW,
PRODA,R187,2,KNOB_STD,KNOB_NEW,
PRODA,R019,1,,,
