PRODUCT,ROOT_LOT_ID,WAFER_ID,FAB_CONTACT_ETCH_tkout_status,FAB_GATE_ETCH_ecuall,FAB_GATE_ETCH_eqp_id,FAB_METAL_ETCH_eqp_id,FAB_SPACER_CVD_eqp_id,MASK_GATE_PHOTO_reticle
PRODA,R101,2,,,,,,
PRODA,R138,4,,,,,,
PRODA,R155,1,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R109,4,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R163,1,,,,,,
PRODB,R053,1,,ETCH_02_CH_B_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R045,3,,,,,,
PRODB,R006,3,,,,,,
PRODB,R155,1,,,,,,
PRODA,R044,3,,,,,,
PRODB,R020,1,,,,,,
PRODB,R002,3,,ETCH_01_CH_A,ETCH_01,ETCH_11,,
PRODB,R058,2,,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODB,R110,4,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODA,R056,2,PASSED,ETCH_02_CH_A_U1,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R105,5,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODA,R012,4,,,,,,
PRODA,R016,2,,,,ETCH_11,,
PRODA,R183,5,PASSED,,,,CVD_02,PRODA-PART|RET_003
PRODB,R039,1,,,,,,
PRODA,R196,1,PASSED,ETCH_02_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODB,R020,3,,,,,,
PRODB,R034,1,,,,ETCH_11,,PRODB-PART|RET_002
PRODB,R162,1,,,,,,
PRODB,R085,1,,,,,,
PRODB,R052,1,,,,,,
PRODA,R142,1,,,,,,
PRODB,R116,1,,,,,,
PRODB,R076,3,,ETCH_01_CH_A_U1,ETCH_01,,,PRODB-PART|RET_002
PRODA,R026,4,,,,,,
PRODB,R117,3,,ETCH_01_CH_A,ETCH_01,ETCH_11,,PRODB-PART|RET_001
PRODB,R142,4,,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,
PRODB,R105,3,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODA,R076,2,,,,ETCH_11,,
PRODB,R005,3,,,,,,
PRODA,R140,1,,,,ETCH_11,,
PRODA,R150,3,PASSED,ETCH_01_CH_B,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODA,R167,3,,,,,,
PRODA,R142,3,,,,,,
PRODB,R042,4,,,,,,
PRODA,R175,3,PASSED,,,,CVD_02,
PRODA,R120,2,,,,,,
PRODB,R056,1,,,,,,
PRODB,R156,1,,,,,,
PRODB,R150,2,,,,,,
PRODA,R029,2,PASSED,ETCH_01_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODA,R183,1,PASSED,ETCH_02_CH_A,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R183,4,PASSED,ETCH_02_CH_B_U1,ETCH_02,,CVD_02,PRODA-PART|RET_001
PRODB,R136,2,,,,,,
PRODA,R082,2,,,,,,
PRODA,R181,2,PASSED,ETCH_02_CH_B,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODB,R190,1,,,,,,
PRODB,R018,3,,,,,,
PRODA,R046,4,,,,ETCH_11,,
PRODA,R024,3,,,,,,
PRODA,R167,2,,,,,,
PRODB,R027,1,,,,,,
PRODA,R136,2,,,,,,
PRODA,R174,3,,,,,,
PRODB,R195,2,,ETCH_01_CH_B,ETCH_01,,,PRODB-PART|RET_002
PRODA,R106,4,,,,ETCH_11,,
PRODB,R132,5,,ETCH_02_CH_B_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODB,R065,4,,,,,,
PRODB,R157,3,,,,,,
PRODA,R001,4,,,,,,
PRODA,R104,4,,,,,,
PRODA,R106,2,PASSED,ETCH_02_CH_A_U1,ETCH_01,ETCH_11,CVD_02,PRODA-PART|RET_002
PRODA,R141,1,PASSED,ETCH_02_CH_B_U1,ETCH_02,,,PRODA-PART|RET_003
PRODB,R001,2,,,,,,
PRODB,R169,4,,,,,,
PRODA,R148,2,,,,,,
PRODB,R147,3,,,,,,
PRODA,R146,3,,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODB,R034,2,,,,ETCH_11,,PRODB-PART|RET_001
PRODB,R075,4,,,,,,
PRODA,R123,4,,,,,,
PRODB,R059,2,,,,,,
PRODB,R174,1,,ETCH_02_CH_A_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODB,R072,4,,,,,,
PRODB,R026,4,,,,,,
PRODB,R116,4,,,,,,
PRODB,R043,2,,,,,,
PRODA,R142,4,,,,,,
PRODA,R015,2,,,,ETCH_11,,
PRODA,R092,4,,,,,,
PRODA,R096,3,,,,,,
PRODB,R055,4,,,,,,
PRODB,R148,2,,,,,,
PRODB,R005,2,,,,,,
PRODB,R031,1,,,,,,
PRODA,R129,1,,,,,,
PRODB,R159,3,,,,,,
PRODB,R042,2,,,,,,
PRODA,R163,2,,,,,,
PRODA,R185,1,PASSED,,,,CVD_02,PRODA-PART|RET_003
PRODA,R165,2,,,,,,
PRODB,R032,1,,,,,,
PRODB,R029,2,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_001
PRODB,R199,1,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODA,R134,4,,,,,,
PRODA,R155,3,PASSED,,,,CVD_02,PRODA-PART|RET_001
PRODB,R149,1,,,,,,
PRODB,R116,3,,,,,,
PRODA,R005,4,,,,ETCH_11,,
PRODB,R130,4,,,,,,
PRODA,R135,1,PASSED,ETCH_01_CH_A,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODB,R066,2,,,,,,
PRODA,R190,1,,,,,,
PRODB,R109,2,,ETCH_02_CH_B_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R111,3,,,,,,
PRODA,R144,1,,,,,,
PRODB,R067,4,,,,,,
PRODA,R063,3,,,,,,
PRODA,R186,5,PASSED,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODA,R123,3,,,,,,
PRODA,R175,1,PASSED,,,,CVD_02,PRODA-PART|RET_002
PRODB,R024,3,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_003
PRODA,R151,1,,,,,,
PRODB,R076,2,,ETCH_02_CH_A,ETCH_02,ETCH_11,,
PRODA,R123,2,,,,,,
PRODA,R181,5,PASSED,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODB,R096,4,,,,,,
PRODB,R112,4,,,,,,
PRODA,R144,4,,,,,,
PRODB,R166,3,,,,,,
PRODB,R142,1,,ETCH_02_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODA,R169,3,PASSED,ETCH_02_CH_A_U1,ETCH_02,,,PRODA-PART|RET_001
PRODA,R097,1,,,,,,
PRODB,R157,1,,,,,,
PRODA,R155,2,PASSED,,,,CVD_02,PRODA-PART|RET_003
PRODA,R188,4,,,,,,
PRODB,R024,1,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_002
PRODA,R038,1,,,,,,
PRODB,R032,2,,,,,,
PRODB,R005,1,,,,,,
PRODB,R002,1,,ETCH_01_CH_A,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODA,R074,3,,,,,,
PRODA,R043,4,,,,,,
PRODB,R063,2,,ETCH_01_CH_A,ETCH_01,,,PRODB-PART|RET_003
PRODA,R120,4,,,,,,
PRODA,R067,4,,,,,,
PRODB,R056,2,,,,,,
PRODA,R046,2,,,,ETCH_11,,
PRODA,R025,3,,,,,,
PRODA,R184,2,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_001
PRODB,R052,3,,,,,,
PRODB,R131,3,,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODA,R193,4,PASSED,ETCH_02_CH_A,ETCH_02,,CVD_02,PRODA-PART|RET_002
PRODA,R068,1,,,,ETCH_11,,
PRODA,R029,4,PASSED,ETCH_02_CH_A,ETCH_01,,CVD_02,
PRODB,R073,4,,,,,,
PRODA,R080,2,,,,,,
PRODA,R041,2,PASSED,ETCH_02_CH_A_U1,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODB,R088,2,,ETCH_01_CH_A_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
PRODA,R057,3,PASSED,,,,CVD_02,PRODA-PART|RET_002
PRODA,R136,4,,,,,,
PRODA,R057,1,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R022,3,,,,,,
PRODA,R018,2,PASSED,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODB,R059,1,,,,,,
PRODA,R184,1,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R145,2,,,,,,
PRODB,R167,3,,,,,,
PRODB,R099,1,,ETCH_02_CH_B_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODA,R059,1,PASSED,ETCH_02_CH_B_U1,ETCH_02,,CVD_02,PRODA-PART|RET_003
PRODB,R008,3,,,,,,
PRODB,R007,3,,,,ETCH_11,,
PRODA,R129,3,,,,,,
PRODA,R168,3,,,,,,
PRODA,R174,4,,,,,,
PRODA,R143,1,,,,,,
PRODB,R159,4,,,,,,
PRODA,R087,4,,,,,,
PRODB,R032,3,,,,,,
PRODA,R017,1,PASSED,ETCH_01_CH_B_U1,ETCH_01,,CVD_02,PRODA-PART|RET_002
PRODB,R130,1,,,,,,
PRODA,R091,1,,,,,,
PRODB,R069,3,,ETCH_01_CH_B,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODA,R195,3,,,,ETCH_11,,
PRODA,R037,2,,,,ETCH_11,,
PRODA,R005,1,,,,ETCH_11,,
PRODA,R187,2,PASSED,ETCH_01_CH_B_U1,ETCH_01,,,PRODA-PART|RET_003
PRODA,R074,4,,,,,,
PRODA,R026,2,,,,,,
PRODA,R020,2,,,,,,
PRODA,R033,1,,,,,,
PRODB,R022,2,,,,,,
PRODB,R092,1,,ETCH_01_CH_A,ETCH_01,ETCH_11,,PRODB-PART|RET_002
PRODA,R042,2,PASSED,ETCH_02_CH_A_U1,ETCH_02,,CVD_02,PRODA-PART|RET_001
PRODA,R067,2,,,,,,
PRODB,R147,1,,,,,,
PRODB,R083,2,,ETCH_01_CH_B,ETCH_01,ETCH_11,,PRODB-PART|RET_001
PRODB,R150,1,,,,,,
PRODB,R152,3,,ETCH_02_CH_A,ETCH_02,ETCH_11,,PRODB-PART|RET_001
PRODB,R066,3,,,,,,
PRODB,R135,1,,,,,,
PRODB,R069,1,,ETCH_02_CH_B_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R154,1,,ETCH_02_CH_B_U1,ETCH_02,ETCH_11,,PRODB-PART|RET_002
PRODB,R142,3,,ETCH_01_CH_B_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_001
PRODB,R162,4,,,,,,
PRODA,R045,1,,,,,,
PRODA,R058,4,,,,,,
PRODB,R133,3,,,,,,
PRODA,R105,1,PASSED,ETCH_02_CH_A,ETCH_02,,CVD_02,PRODA-PART|RET_001
PRODB,R065,3,,,,,,
PRODA,R164,4,,,,,,
PRODB,R075,1,,,,,,
PRODB,R149,3,,,,,,
PRODA,R080,4,,,,,,
PRODB,R166,2,,,,,,
PRODB,R135,2,,,,,,
PRODA,R074,2,,,,,,
PRODA,R050,2,,,,,,
PRODA,R077,1,,ETCH_01_CH_A_U1,ETCH_01,,CVD_02,PRODA-PART|RET_003
PRODB,R039,2,,,,,,
PRODB,R129,3,,ETCH_01_CH_A_U1,ETCH_01,ETCH_11,,PRODB-PART|RET_003
