PRODUCT,ROOT_LOT_ID,WAFER_ID,VM_SNS_TEMP_01_residual_mean,VM_SNS_PRES_02_residual_max
PRODA,R135,4,,0.5535
PRODB,R193,2,,
PRODA,R006,1,-0.9666,
PRODA,R067,1,,
PRODA,R122,4,,-0.1379
PRODA,R195,4,,
PRODA,R050,4,,0.6363
PRODA,R134,1,,0.0395
PRODA,R005,2,,
PRODB,R007,3,0.9266,-1.8611
PRODB,R055,1,,
PRODB,R023,2,,
PRODB,R010,3,,
PRODA,R175,4,,
PRODA,R146,2,-0.0568,
PRODA,R194,4,-1.1425,1.1549
PRODB,R123,1,,
PRODA,R130,4,,
PRODB,R076,1,,
PRODA,R167,4,-0.8374,0.7704
PRODA,R059,3,,
PRODA,R150,4,,
PRODB,R039,4,,
PRODB,R097,3,-0.0621,-0.6192
PRODB,R141,4,,
PRODB,R114,4,0.051000000000000045,-0.6161
PRODB,R037,2,-1.2425,0.4045
PRODB,R117,3,1.569,0.1791
PRODA,R033,2,,
PRODB,R073,2,,
PRODB,R152,3,,
PRODA,R150,3,,
PRODB,R161,3,,
PRODB,R136,3,,
PRODB,R089,3,-0.079,
PRODA,R148,4,,
PRODA,R085,2,-0.5887,-0.2446
PRODB,R092,2,,
PRODB,R059,4,,
PRODB,R034,2,-0.4038,0.5767
PRODB,R002,2,,
PRODA,R087,1,-0.27554999999999996,0.3896
PRODB,R069,3,,
PRODA,R152,3,,
PRODB,R010,4,,
PRODA,R024,4,,
PRODA,R038,3,,
PRODA,R107,4,,
PRODB,R110,1,0.1646,0.9231
PRODB,R031,4,0.5491,0.2078
PRODA,R038,1,,
PRODB,R122,2,,
PRODA,R058,2,,
PRODB,R049,2,0.3685,1.1278
PRODA,R007,2,,
PRODA,R176,1,,
PRODB,R079,2,,
PRODA,R006,4,-0.4577,1.5347
PRODA,R181,4,,
PRODA,R087,2,-0.8345,-0.026
PRODB,R147,1,,
PRODB,R055,3,,
PRODB,R109,2,0.0851,
PRODA,R164,2,0.4636,
PRODA,R176,3,,
PRODA,R142,4,-0.4548,-0.0255
PRODA,R140,1,,
PRODA,R120,4,,
PRODB,R067,1,,1.0408
PRODA,R020,1,,
PRODA,R144,1,,0.1834
PRODB,R139,2,-0.2112,0.8057
PRODA,R029,3,-0.0615,
PRODB,R155,1,1.5243,-1.2414
PRODA,R111,1,,
PRODA,R199,1,-0.3426,
PRODA,R024,2,,
PRODA,R063,2,-0.07535,0.484
PRODB,R132,2,,
PRODB,R109,3,0.281,-0.1903
PRODB,R169,2,,-0.6083
PRODA,R173,1,0.3332,0.0828
PRODB,R162,1,1.9828,0.4738
PRODA,R063,1,0.0401,-0.1408
PRODA,R054,2,-2.2185,1.1975
PRODA,R144,3,-0.4257,0.5303
PRODA,R091,1,0.4848,-0.5523
PRODB,R132,4,,
PRODB,R129,3,,
PRODA,R074,1,,-0.1166
PRODB,R085,3,-0.050350000000000006,-0.0498
PRODA,R122,1,,0.1005
PRODB,R022,2,-0.7138,1.1175
PRODB,R097,2,,0.6553
PRODA,R187,1,,
PRODB,R058,2,,
PRODA,R010,4,0.8325,
PRODB,R008,2,-0.9423,0.4673
PRODA,R106,3,,
PRODA,R150,2,,
PRODB,R169,1,-0.3475,
PRODA,R083,1,,
PRODA,R025,2,,
PRODA,R126,3,-0.3768,-0.5431
PRODA,R070,4,1.3796,0.5424
PRODB,R007,1,-1.0187,
PRODA,R155,2,,
PRODA,R015,3,,
PRODB,R164,1,,
PRODA,R062,3,,
PRODA,R006,2,0.4694,
PRODA,R174,2,0.4037,-0.4335
PRODA,R043,3,,
PRODA,R168,1,,
PRODB,R181,2,0.1017,
PRODB,R199,1,,
PRODA,R111,3,,
PRODA,R173,2,-0.787,0.1243
PRODA,R020,3,,
PRODA,R143,1,,-0.0362
PRODB,R083,4,,
PRODB,R005,4,,
PRODA,R113,2,,
PRODB,R166,4,,
PRODA,R025,1,,
PRODA,R101,1,,
PRODB,R156,2,-0.9777,0.2833
PRODA,R006,3,,-0.957
PRODA,R176,2,,
PRODB,R005,2,,
PRODA,R106,5,,
PRODB,R167,3,-0.5995,
PRODA,R044,4,,-1.0202
PRODB,R067,4,,-0.5096
PRODB,R169,4,0.5855,-0.0345
PRODB,R052,3,,1.5046
PRODA,R193,5,,
PRODA,R184,4,,
PRODB,R075,3,,
PRODA,R046,4,,
PRODA,R115,1,,
PRODB,R073,4,,
PRODA,R151,4,-0.3217,0.2434
PRODB,R024,3,,
PRODA,R131,4,0.8343,0.5559
PRODB,R114,3,1.3254,-0.4836
PRODA,R186,3,,
PRODA,R010,1,-0.2462,
PRODA,R169,3,,
PRODA,R135,1,1.6526,-0.2408
PRODA,R146,3,0.8336,0.3236
PRODA,R012,2,,
PRODA,R057,3,,
PRODA,R079,4,,
PRODB,R109,5,,
PRODB,R154,2,,
PRODB,R061,4,,
PRODB,R096,1,,
PRODA,R122,2,0.8983,0.1652
PRODA,R123,4,,
PRODB,R129,4,,
PRODA,R175,5,,
PRODA,R196,3,,
PRODB,R043,4,-0.3866,-0.1433
PRODA,R050,3,0.1542,
PRODB,R007,2,-1.7055,
PRODA,R107,1,,
PRODA,R153,3,,
PRODB,R089,1,,-0.2008
PRODB,R064,2,,
PRODA,R120,2,,
PRODA,R165,4,,
PRODB,R031,2,-0.552,-1.8761
PRODB,R053,4,,
PRODB,R133,3,,
PRODA,R131,3,0.1379,0.1049
PRODB,R026,3,,
PRODA,R199,3,0.1276,-0.6937
PRODB,R023,1,,
PRODB,R022,1,1.4298,-0.4543
PRODA,R188,1,,
PRODB,R152,1,,
PRODA,R015,5,,
PRODB,R008,3,-0.0314,-1.7418
PRODB,R071,4,,
PRODA,R007,1,,
PRODA,R131,1,,0.0179
PRODB,R018,3,,
PRODA,R005,5,,
PRODA,R142,3,0.007,
PRODA,R155,3,,
PRODB,R073,1,,
PRODB,R027,2,,
PRODB,R117,4,-0.6303,0.3676
PRODA,R199,2,-0.5657,-0.2051
PRODA,R096,3,0.6473,0.6657
PRODA,R125,3,-1.2444,0.1671
PRODB,R166,3,,
PRODA,R151,2,1.1862,-0.05
PRODB,R131,1,,
PRODB,R159,2,0.6423,0.0451
PRODB,R105,4,,
PRODB,R132,5,,
PRODA,R037,4,0.8421,
PRODA,R045,1,,
PRODB,R031,3,0.6028,1.3791
PRODA,R079,3,,
PRODA,R183,5,,
PRODB,R066,2,0.47764999999999996,-0.3208
PRODA,R056,1,,
PRODB,R067,3,-0.7533,0.6947
PRODB,R165,1,,
PRODB,R112,2,0.814,0.1979
PRODB,R053,2,,
PRODB,R157,4,,
PRODB,R168,5,,
PRODB,R116,1,,
PRODA,R141,2,,
PRODB,R006,3,,
PRODA,R015,1,,
PRODB,R152,4,,
PRODB,R027,3,,
PRODA,R094,1,,
PRODB,R076,2,,
PRODB,R161,4,,
PRODA,R107,3,,
PRODB,R016,1,,
PRODA,R182,1,,
PRODA,R005,1,,
PRODA,R138,1,-0.5449,-0.6025
PRODA,R184,5,,
PRODB,R072,1,-1.4729,-0.2413
PRODA,R168,4,,
PRODA,R016,3,,
PRODA,R082,2,0.6019,0.6537
PRODA,R087,3,-0.011450000000000002,0.6487
PRODA,R050,1,-1.0513,0.1453
PRODA,R085,4,,-0.5488
PRODB,R099,2,,-1.0485
PRODB,R142,4,,
PRODA,R091,3,-1.0388,0.2652
PRODB,R061,1,,
PRODA,R143,2,-0.7024,
PRODB,R069,4,,
PRODB,R016,2,,
PRODA,R101,4,,
PRODA,R123,2,,
PRODB,R130,1,-0.079,-1.7951
PRODA,R146,1,,1.243
PRODA,R123,3,,
PRODB,R030,3,-0.0791,1.4022
PRODA,R129,2,-0.0219,
PRODA,R190,2,-0.2373,1.4075
PRODB,R024,4,,
PRODB,R096,3,,
PRODB,R082,2,-0.894,-0.6442
PRODB,R067,2,-1.8815,1.2582
PRODA,R105,5,,
PRODA,R105,2,0.4845,0.9665
PRODB,R132,1,,
PRODA,R120,3,,
PRODA,R057,5,,
PRODB,R069,1,,
PRODB,R073,3,,
PRODB,R170,1,-0.9489,
PRODA,R045,2,,
PRODB,R117,2,0.00269999999999998,-0.0685
PRODA,R103,3,,
PRODB,R116,3,,
PRODA,R175,3,,
PRODB,R033,1,-0.7815,
PRODB,R006,2,,
PRODA,R135,2,,0.5126
PRODA,R190,4,1.6167,-0.1964
PRODB,R149,1,-0.4494,0.4518
PRODB,R168,4,,
PRODB,R043,1,0.2662,0.4395
PRODA,R012,1,,
PRODB,R150,2,,
PRODB,R159,3,-1.8754,-0.2058
PRODA,R092,1,-0.3948,0.0248
PRODA,R184,3,,
PRODB,R088,2,,
PRODA,R024,1,,
PRODB,R159,1,,0.8793
PRODB,R097,4,-0.7319,-0.3193
PRODA,R058,4,,
PRODA,R041,2,,
PRODB,R016,4,,
PRODB,R001,1,,
PRODB,R001,2,,
PRODA,R193,1,0.0977,-0.2551
PRODB,R093,3,-0.7259,0.571
PRODB,R195,2,,
PRODB,R094,3,,
PRODA,R026,2,,
PRODA,R107,2,,
PRODB,R057,2,,
PRODB,R020,3,,
PRODB,R099,1,,-0.945
PRODB,R058,1,,
PRODA,R099,3,-0.2927,1.3265
PRODB,R099,3,,0.9375
PRODA,R135,3,-0.2271,-0.2895
PRODB,R033,4,-0.5354,0.3106
PRODA,R150,5,,
PRODA,R082,4,1.5068,0.5695
PRODB,R093,2,0.2685,1.8761
PRODA,R019,4,0.9153,0.1025
PRODA,R082,3,0.24095,0.4002
PRODB,R075,1,,
PRODB,R088,4,,
PRODA,R019,3,-0.925,0.4315
PRODB,R168,3,,
PRODA,R042,4,,
PRODB,R096,4,,
PRODA,R111,2,,
PRODA,R105,4,-0.1844,-0.3625
PRODA,R188,3,,
PRODA,R077,1,,
PRODA,R158,4,0.5383,-0.6025
PRODB,R096,2,,
PRODB,R156,1,-0.4952,-0.4055
PRODA,R167,2,0.08965000000000001,1.5256
PRODA,R005,3,,
PRODB,R059,1,,
PRODB,R141,1,,
PRODA,R097,4,0.9644,1.1324
PRODA,R101,3,,
PRODB,R147,3,,
PRODB,R183,1,-1.0397,-0.6228
PRODB,R161,1,,
PRODA,R042,1,,
PRODB,R037,1,0.7968,
PRODA,R081,3,0.1593,0.4015
PRODB,R135,3,,
PRODB,R162,3,0.507,
PRODA,R181,2,,
PRODA,R074,4,-0.0624,0.9029
PRODA,R025,4,,
PRODB,R183,3,0.5253,0.8276
PRODA,R196,4,,
PRODB,R150,1,,
PRODA,R151,1,-0.4302,
PRODA,R155,1,,
PRODB,R081,4,-0.9202,-0.117
PRODA,R136,2,,
PRODB,R027,4,,
PRODB,R037,3,-0.2262,
PRODA,R129,1,,-0.9162
PRODA,R130,2,,
PRODB,R049,1,0.52355,0.6662
PRODA,R174,1,-0.8748,0.685
PRODB,R057,4,,
PRODB,R164,3,,
PRODB,R148,2,-0.6995,0.6035
PRODA,R163,4,,
PRODB,R135,1,,
PRODA,R017,3,,
PRODB,R037,4,0.8514,0.7126
PRODA,R138,3,0.8264,0.6663
PRODA,R076,2,,
