PRODUCT,ROOT_LOT_ID,WAFER_ID,INLINE_ITEM_CD_001_mean,INLINE_ITEM_THK_002_last
PRODA,R024,2,120.4386,106.1157
PRODA,R044,1,,
PRODA,R080,4,,
PRODB,R109,3,,
PRODB,R088,4,,
PRODB,R005,2,100.233,96.0816
PRODA,R012,1,96.2293,104.8212
PRODA,R073,3,,
PRODA,R005,5,,
PRODB,R042,4,,
PRODB,R030,1,,
PRODB,R034,1,,
PRODA,R193,1,85.7201,91.9985
PRODA,R017,1,,
PRODA,R045,1,97.2511,96.5782
PRODA,R005,1,,
PRODA,R092,1,,
PRODB,R064,2,,
PRODB,R181,1,,
PRODB,R031,3,,
PRODA,R103,3,97.8488,89.9186
PRODA,R001,4,,
PRODA,R016,1,,
PRODB,R193,4,93.91073333333333,110.6735
PRODB,R114,3,,
PRODB,R135,3,100.9914,93.2232
PRODA,R046,2,,
PRODA,R045,4,92.2996,93.3787
PRODB,R110,5,,
PRODA,R185,3,101.11385,104.1925
PRODA,R140,1,,
PRODA,R176,1,,
PRODB,R075,4,110.5055,98.5799
PRODB,R132,4,95.5227,116.1402
PRODA,R043,1,94.6385,101.8441
PRODA,R143,3,,
PRODB,R005,4,97.4963,115.3168
PRODA,R146,4,91.4597,105.8168
PRODA,R185,2,97.70035,97.7828
PRODA,R188,4,92.1695,98.4882
PRODA,R111,1,111.1411,87.7851
PRODA,R076,1,,
PRODB,R055,3,94.84935,102.9349
PRODB,R094,3,111.2321,98.2163
PRODA,R163,4,103.2784,87.4072
PRODA,R062,4,116.12975,111.5038
PRODA,R106,2,,
PRODB,R088,1,,
PRODA,R135,1,97.7313,104.0114
PRODA,R094,1,,
PRODA,R087,1,,
PRODA,R134,3,99.5413,99.5952
PRODB,R082,1,,
PRODA,R079,4,,
PRODA,R019,4,,
PRODB,R083,3,,
PRODB,R022,4,97.6638,89.9545
PRODB,R154,2,,
PRODA,R158,4,,
PRODA,R181,1,,
PRODA,R131,2,102.811,94.0018
PRODB,R149,3,,
PRODA,R017,2,,
PRODA,R096,1,,
PRODA,R123,2,105.8297,109.0233
PRODA,R183,2,92.97655,96.9078
PRODA,R188,3,113.207,99.8454
PRODA,R188,1,106.4881,93.8545
PRODB,R116,4,98.9837,101.3056
PRODA,R174,4,,
PRODA,R097,2,101.2657,87.8473
PRODA,R042,1,,
PRODA,R058,4,95.1366,97.2062
PRODA,R115,2,,
PRODA,R184,3,,
PRODA,R165,4,103.99185,99.0393
PRODB,R193,3,101.18769999999999,90.606
PRODA,R033,1,102.2471,107.7317
PRODB,R169,4,,
PRODA,R006,1,,
PRODB,R016,4,96.8068,111.4229
PRODB,R069,4,,
PRODB,R079,2,90.1119,108.8566
PRODB,R058,1,,
PRODA,R159,3,99.84859999999999,100.0948
PRODA,R106,3,,
PRODB,R154,1,,
PRODA,R101,2,117.7984,99.4949
PRODB,R199,4,106.4863,105.9611
PRODB,R166,1,110.1462,100.7366
PRODA,R094,5,,
PRODB,R114,4,,
PRODA,R104,2,104.7143,80.9251
PRODA,R059,1,100.5221,96.7221
PRODB,R010,2,,
PRODB,R133,4,100.2193,83.9069
PRODB,R010,4,,
PRODA,R020,4,111.3013,98.5122
PRODB,R066,4,100.14696666666667,110.1667
PRODA,R029,3,,
PRODB,R037,4,,
PRODB,R195,3,,
PRODA,R126,4,97.76565,103.8065
PRODA,R166,4,,
PRODA,R092,2,,
PRODB,R123,4,,
PRODB,R136,2,106.4122,98.4124
PRODA,R173,1,,
PRODB,R082,3,,
PRODA,R183,5,,
PRODA,R006,4,,
PRODA,R155,4,,
PRODA,R167,1,,
PRODA,R134,2,96.9851,90.7813
PRODA,R148,4,110.0785,103.5915
PRODB,R135,2,105.3911,99.7304
PRODB,R174,3,,
PRODB,R157,1,103.7161,103.9651
PRODB,R034,4,,
PRODB,R129,2,,
PRODA,R173,2,,
PRODB,R008,1,121.4386,90.0054
PRODB,R018,4,101.3831,101.3978
PRODA,R144,1,102.8214,94.5738
PRODA,R164,2,,
PRODB,R149,2,,
PRODA,R187,2,,
PRODB,R133,3,108.0786,101.206
PRODB,R002,2,,
PRODA,R106,1,,
PRODB,R130,1,,
PRODA,R148,2,99.4883,112.1322
PRODA,R025,1,104.455,97.4723
PRODA,R168,2,97.6393,96.6567
PRODB,R147,1,90.2069,97.2967
PRODA,R074,3,,
PRODB,R053,4,,
PRODA,R068,1,,
PRODB,R141,4,105.0073,102.6183
PRODA,R054,1,,
PRODB,R059,2,106.7587,85.514
PRODA,R044,2,,
PRODA,R130,3,94.4702,107.6659
PRODB,R059,1,99.9336,108.2369
PRODA,R037,2,,
PRODA,R099,1,,
PRODA,R151,1,,
PRODA,R123,1,87.427,82.8671
PRODA,R196,2,,
PRODA,R168,3,100.292,91.3926
PRODA,R173,4,,
PRODA,R104,3,107.7384,94.5348
PRODA,R155,1,,
PRODB,R089,2,,
PRODA,R187,1,,
PRODB,R061,1,104.4044,107.043
PRODB,R085,2,,
PRODA,R033,2,99.4723,97.5245
PRODA,R151,4,,
PRODA,R159,4,100.28266666666667,100.2653
PRODB,R043,3,,
PRODB,R064,4,,
PRODB,R168,3,,
PRODB,R097,3,,
